filename,algo2_topics,algo3_topics,algo2_avg_duration,algo3_avg_duration,algo2_avg_sentences,algo3_avg_sentences,duration
audio_001_16k_mono_clean_norm_trim_chunk_090_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_091_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_092_cleaned.json,1,1,23.78,23.78,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_093_cleaned.json,1,2,24.98,11.92,8.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_094_cleaned.json,1,1,24.8,24.8,6.0,6.0,0
audio_001_16k_mono_clean_norm_trim_chunk_095_cleaned.json,1,2,24.34,11.530000000000001,8.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_096_cleaned.json,1,1,24.24,24.24,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_097_cleaned.json,1,1,24.22,24.22,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_098_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_099_cleaned.json,1,1,24.2,24.2,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_100_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_101_cleaned.json,1,1,24.22,24.22,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_102_cleaned.json,1,1,24.8,24.8,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_103_cleaned.json,1,2,24.98,12.370000000000001,10.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_104_cleaned.json,1,1,22.46,22.46,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_105_cleaned.json,1,3,24.98,8.253333333333334,10.0,3.3333333333333335,0
audio_001_16k_mono_clean_norm_trim_chunk_106_cleaned.json,1,1,24.58,24.58,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_107_cleaned.json,1,1,24.92,24.92,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_108_cleaned.json,1,1,24.98,24.98,9.0,9.0,0
audio_001_16k_mono_clean_norm_trim_chunk_109_cleaned.json,1,1,24.68,24.68,9.0,9.0,0
audio_001_16k_mono_clean_norm_trim_chunk_110_cleaned.json,1,1,24.84,24.84,6.0,6.0,0
audio_001_16k_mono_clean_norm_trim_chunk_111_cleaned.json,1,1,24.98,24.98,6.0,6.0,0
audio_001_16k_mono_clean_norm_trim_chunk_112_cleaned.json,1,1,24.74,24.74,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_113_cleaned.json,1,2,24.84,11.9,6.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_114_cleaned.json,1,2,24.68,12.26,8.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_115_cleaned.json,1,1,24.9,24.9,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_116_cleaned.json,1,1,24.72,24.72,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_117_cleaned.json,1,2,24.56,12.219999999999999,9.0,4.5,0
audio_001_16k_mono_clean_norm_trim_chunk_118_cleaned.json,1,1,24.94,24.94,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_119_cleaned.json,1,1,24.7,24.7,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_120_cleaned.json,1,1,24.88,24.88,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_121_cleaned.json,1,2,24.98,11.690000000000001,7.0,3.5,0
audio_001_16k_mono_clean_norm_trim_chunk_122_cleaned.json,1,2,24.98,11.94,8.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_123_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_124_cleaned.json,1,2,24.84,12.41,8.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_125_cleaned.json,1,1,24.88,24.88,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_126_cleaned.json,1,2,24.98,12.469999999999999,6.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_127_cleaned.json,1,2,24.88,12.18,8.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_128_cleaned.json,1,1,24.86,24.86,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_129_cleaned.json,1,2,24.98,11.7,13.0,6.5,0
audio_001_16k_mono_clean_norm_trim_chunk_130_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_131_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_133_cleaned.json,1,2,24.98,12.36,5.0,2.5,0
audio_001_16k_mono_clean_norm_trim_chunk_134_cleaned.json,1,1,24.46,24.46,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_135_cleaned.json,1,1,24.98,24.98,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_136_cleaned.json,1,1,24.94,24.94,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_137_cleaned.json,1,1,23.82,23.82,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_138_cleaned.json,1,1,24.86,24.86,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_139_cleaned.json,1,2,24.98,12.290000000000001,6.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_140_cleaned.json,1,2,24.86,11.719999999999999,7.0,3.5,0
audio_001_16k_mono_clean_norm_trim_chunk_141_cleaned.json,1,2,24.98,12.38,5.0,2.5,0
audio_001_16k_mono_clean_norm_trim_chunk_142_cleaned.json,1,1,24.9,24.9,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_143_cleaned.json,1,1,24.98,24.98,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_144_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_145_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_146_cleaned.json,1,1,24.6,24.6,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_147_cleaned.json,1,2,24.92,11.99,5.0,2.5,0
audio_001_16k_mono_clean_norm_trim_chunk_148_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_149_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_150_cleaned.json,1,1,24.6,24.6,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_151_cleaned.json,1,1,22.86,22.86,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_152_cleaned.json,1,1,24.98,24.98,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_153_cleaned.json,1,1,24.9,24.9,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_154_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_155_cleaned.json,1,1,24.94,24.94,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_156_cleaned.json,1,1,24.72,24.72,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_157_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_158_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_159_cleaned.json,1,1,24.94,24.94,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_160_cleaned.json,1,1,24.9,24.9,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_161_cleaned.json,1,1,23.98,23.98,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_162_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
