audio_id,baseline_segments,embedding_segments,baseline_avg_words,embedding_avg_words,baseline_std_words,embedding_std_words
T3FC7qIAGZk,86,368,445.7906976744186,104.17934782608695,453.2771398326438,110.64873134112635
J48bm21q8_A,47,209,431.40425531914894,97.01435406698565,571.0805979400757,129.91754759058222
cdiD-9MMpb0,89,394,433.65168539325845,97.95685279187818,483.08482287551226,102.70583228830857
f0un-l1L8Zw,31,161,607.741935483871,117.01863354037268,554.3171310628984,118.99477894750817
FKh8hjJNhWc,105,518,566.847619047619,114.9015444015444,773.045502029872,127.00275115407392
6z1JwZbX4dQ,41,193,601.609756097561,127.80310880829016,537.6386436300229,166.62057853821014
Pl3x4GINtBQ,81,485,609.358024691358,101.76907216494845,698.057946383879,124.96148797312999
7jFdxd1qX2g,25,77,372.72,121.01298701298701,466.039527937277,136.4844783055952
j4_VyRDOmN4,47,282,504.74468085106383,84.12411347517731,598.030578741593,113.79598916058848
ClxRHJPz8aQ,46,260,654.4347826086956,115.78461538461538,754.3365830511607,126.5861813223511
cC1LFC0KFSw,64,405,629.875,99.5358024691358,767.9262558182263,111.80013837382056
ICj8p5jPd3Y,52,266,679.1153846153846,132.7593984962406,758.3364803671398,164.65017143331997
3LWNY70Oj4A,21,101,512.7619047619048,106.61386138613861,796.9885525115571,107.7148757661973
U_6AYX42gkU,59,194,403.8305084745763,122.81443298969072,551.0689197582008,159.95587857486788
cuD9uNFXnU8,53,222,547.5471698113207,130.72072072072072,672.8997953391439,156.49331051939058
krB0enBeSiE,77,357,433.54545454545456,93.50980392156863,477.0564655368458,112.51150225277965
s78hvV3QLUE,20,96,414.25,86.30208333333333,425.84244445569306,104.60183632387336
K78jqx9fx2I,72,337,625.8611111111111,133.71513353115728,653.7816129079673,160.6821941466551
0RTWSJAqTPg,35,199,1053.7714285714285,185.33668341708542,1697.8285305600427,623.427889880183
c9AbECvRt20,33,122,629.4242424242424,170.25409836065575,881.6031550809403,167.53005903396786
60KJz1BVTyU,17,65,447.1764705882353,116.95384615384616,514.9912889376488,142.7173032223257
AF8DOS4C2KM,54,265,573.4074074074074,116.84528301886793,658.2806031911641,145.72709900156
VBPTFlpv31k,53,231,544.8490566037735,125.008658008658,589.206258412061,162.63943046083045
Ktj050DxG7Q,42,217,633.7619047619048,122.66359447004608,759.1335226529122,148.5173800500855
qfKyNxfyWbo,48,168,483.0208333333333,138.00595238095238,756.2198338221316,186.7779269940327
GbhiVzCR9T0,29,119,476.8965517241379,116.21848739495799,605.8309963966899,149.92178126794104
